
*********************************************************************************
program_crabs.py
Directory /Users/brocktubre/Desktop/School/CSC475/NeuralNetwork_Crabs/Assignment2
Created by Brock Tubre on 10/24/14 -- CSC475

Using the crab’s dataset, build a classifier that can identify the sex of a crab from its physical measurements.
Five physical measurements of a crab considered are: frontal lobe size (FLB), rear width (RW), length (CL), width (CW), and depth (BD).
This program uses a Batch Gradient Descnes Algorithm
Compile & run $: python3 program_crabs2.py
Output is in .csv run$: python3 program_crabs2.py > output.csv
This will output a .csv to the cwd with the columns deltaFLB, deltaRW, deltaCL, deltaCW, deltaDB, deltaERROR
-2.02147704420454e-07,-1.4724338963899297e-07,-4.030475835052269e-07,-4.4048234358259886e-07,-1.8343032438155119e-07,0.7229584257857431
-1.9366096619746753e-07,-1.6896594366190565e-07,-3.899214084512187e-07,-4.380117154933333e-07,-1.7286515774676478e-07,0.6921472056612172
-1.402388595053445e-07,-1.1219108760410212e-07,-2.703805211264586e-07,-3.0291593653211657e-07,-1.2228828548876622e-07,0.6788764202231576
-1.0040815605024712e-07,-9.245503477910144e-08,-2.077752932132075e-07,-2.425701987746054e-07,-8.350777334887281e-08,0.657874887919554
-9.924780468469063e-08,-8.851831228597062e-08,-2.128015992339076e-07,-2.423077033290866e-07,-8.76241879198443e-08,0.6905690939072906
-1.760418435229564e-07,-1.52343903048191e-07,-3.520836870459128e-07,-3.9609414792703135e-07,-1.5911474318414803e-07,0.6070581393813951
-1.5248589095378205e-07,-1.2547410455608643e-07,-3.006150421660213e-07,-3.398256998403404e-07,-1.3941567172915358e-07,0.7018430025755261
-1.3289281164288562e-07,-9.802022986511727e-08,-2.723831387576453e-07,-2.997157028550995e-07,-1.2723779838162003e-07,0.6890906381281053
-1.504214306583592e-07,-1.4609897575415531e-07,-3.302355546636569e-07,-3.8124052253139806e-07,-1.4350550281211003e-07,0.722935830308623
-1.30205267162304e-07,-1.1278927601263145e-07,-2.5709320267738173e-07,-2.8860785332776584e-07,-1.1444794183689509e-07,0.6534061110044566
-2.086068424840548e-07,-1.4913973354034604e-07,-4.209893744249425e-07,-4.6818549263340226e-07,-1.9350408465715688e-07,0.6836286807113061
-9.862385089241116e-08,-8.79396003794497e-08,-2.021788943293995e-07,-2.3751910756611427e-07,-8.629586953096818e-08,0.6416932480691291
-1.2474711550032602e-07,-1.1577836863362057e-07,-2.6580104348430944e-07,-3.122754590623861e-07,-1.1251700613758298e-07,0.6680388435597846
-1.0053142920300046e-07,-9.175487586041142e-08,-1.9946712143462109e-07,-2.2420104449187572e-07,-9.17548758597609e-08,0.7085883453426621
-1.1283199597669942e-07,-9.905098883461472e-08,-2.3772237320264164e-07,-2.8078802052217133e-07,-9.560573704893091e-08,0.6757999062015744
-1.0856217673763623e-07,-1.0306535766155256e-07,-2.3705032262295866e-07,-2.7690226091919845e-07,-1.0512666481538209e-07,0.6836286807113061
-1.0107182302123568e-07,-8.302328319623187e-08,-2.1080694515831708e-07,-2.3246519294944923e-07,-9.457434868402614e-08,0.6788764202231576
-7.887248389647217e-08,-6.937857379742118e-08,-1.6431767478446158e-07,-1.9206910430343005e-07,-6.645737069053796e-08,0.6874229993902424
-1.228006740123036e-07,-8.868937567511892e-08,-2.6296709990493786e-07,-3.032804524842614e-07,-1.1349759264757744e-07,0.6984369247747436
-1.3554485649917673e-07,-1.1128065379242824e-07,-3.0121079222034455e-07,-3.489025009878466e-07,-1.288512833385897e-07,0.6458535996983802
-5.873949733515779e-08,-5.07014608578521e-08,-1.2118885766004145e-07,-1.3850155161122812e-07,-4.822821886470152e-08,0.6328535412202585
-1.2557110264143148e-07,-1.1983070937783558e-07,-2.769739749692614e-07,-3.193093752879017e-07,-1.2198335685173825e-07,0.6573550586011515
-9.867393711815962e-08,-7.112212350654512e-08,-1.9350343512768153e-07,-2.1528859007503842e-07,-8.649987994109598e-08,0.7018358847043545
-7.787362138749095e-08,-5.856096328346605e-08,-1.507633310060194e-07,-1.682070221963039e-07,-6.977476476308954e-08,0.7330812330338364
-9.040824629604274e-08,-8.39083070195562e-08,-1.9263456400332724e-07,-2.2631606752532285e-07,-8.154469273761143e-08,0.6874229993902424
-1.2939559917144773e-07,-1.1177835796891133e-07,-2.660810912540057e-07,-2.940256807471009e-07,-1.2149821518444778e-07,0.6905690939072906
-9.071539508942114e-08,-8.082974306024282e-08,-1.9073493326502572e-07,-2.2039188935125964e-07,-7.792219834591892e-08,0.6735697552322598
-5.118610792208614e-08,-4.212190131067106e-08,-1.071709134618272e-07,-1.2316657218777727e-07,-4.372146718343954e-08,0.7059635424416199
-7.368210222166716e-08,-5.5408940871290446e-08,-1.4264854990113374e-07,-1.5915334079970311e-07,-6.601916359059122e-08,0.6203290825397063
-7.493578221958938e-08,-6.475931796715018e-08,-1.4617103198362805e-07,-1.6467369426051426e-07,-6.337161829669813e-08,0.6899600977498992
-6.353586956249838e-08,-4.731394541955536e-08,-1.3112722016105777e-07,-1.4239244526016714e-07,-5.902977952276789e-08,0.672266812756304
-4.310687850661403e-08,-3.464665001423617e-08,-8.339368084931895e-08,-9.145104131781656e-08,-3.70638581551324e-08,0.6979320780740701
-5.262218881279222e-08,-4.257978636693083e-08,-1.1327829958166641e-07,-1.297478395920898e-07,-4.418657075888448e-08,0.6890906381281053
-6.888284389302939e-08,-5.0672436887125305e-08,-1.429121071574481e-07,-1.5637197320512997e-07,-6.413230293480718e-08,0.663423400875003
-4.91836464194817e-08,-4.376510910272802e-08,-1.0503626184489925e-07,-1.2212549492345015e-07,-4.293148797617288e-08,0.6646577181955473
-8.480196002423439e-08,-7.287668439548423e-08,-1.8064584192661187e-07,-2.115632231850656e-07,-7.994351439795551e-08,0.7018358847043545
-4.690350644681596e-08,-4.178676028809836e-08,-9.593899045947513e-08,-1.0958364688069822e-07,-3.4964432078571014e-08,0.6539987675165444
-5.835877842671859e-08,-4.9296856310596104e-08,-1.1454269554589738e-07,-1.304916784697352e-07,-5.074676384946193e-08,0.6070581393813951
-4.35714899950021e-08,-3.857148294685031e-08,-9.75001374476335e-08,-1.1285730195341459e-07,-3.892862630709183e-08,0.722935830308623
-5.246248272849745e-08,-4.371873560740647e-08,-1.0770706681357753e-07,-1.2082268749553926e-07,-4.8488052218752936e-08,0.6573550586011515
-7.081043986215639e-08,-5.8615308553069956e-08,-1.3650679240098662e-07,-1.553895763641705e-07,-6.176243921309464e-08,0.6012311244585146
-5.3485523803529014e-08,-4.781818353262468e-08,-1.1299259664466349e-07,-1.310572437570462e-07,-4.8880809833595426e-08,0.6259686991053062
-4.890342220715757e-08,-4.642729956386149e-08,-1.0678278899696816e-07,-1.2473467816097317e-07,-4.735584555504331e-08,0.6389122790252166
-5.964399555648779e-08,-4.744408737406003e-08,-1.1522135505252773e-07,-1.3081012661779468e-07,-5.252738245037879e-08,0.6051027025057031
-6.941807810089545e-08,-5.225426758133367e-08,-1.4799018847877488e-07,-1.6286549092865699e-07,-6.560389798548547e-08,0.6905690939072906
-8.71191163135613e-08,-6.421455991251213e-08,-1.9264367973536797e-07,-2.233194249159215e-07,-8.180198714886552e-08,0.6534061110044566
-3.263365275230079e-08,-2.9565531554226476e-08,-6.94511071396009e-08,-7.949223106325232e-08,-2.9007691335547134e-08,0.6468453323510794
-3.555740418835322e-08,-3.286366144668318e-08,-7.515542248910309e-08,-8.64691420028596e-08,-3.097804152779604e-08,0.6385638602567769
-2.5077289710290565e-08,-2.234158537860187e-08,-5.129445622550563e-08,-5.858966777710917e-08,-1.869397960214958e-08,0.7160709192203343
-3.642778375993749e-08,-3.162722310955102e-08,-7.285556751987499e-08,-8.217430290044514e-08,-3.3603924553572695e-08,0.6380121785861926
-4.800071524242375e-08,-4.386820333379671e-08,-1.0076971345600663e-07,-1.163461044954156e-07,-4.1325119082800954e-08,0.7018358847043545
-3.310478857124384e-08,-3.020509906082047e-08,-6.910926665269421e-08,-8.167458786199899e-08,-2.875525430636773e-08,0.6293842825257236
-3.702309913440789e-08,-3.4625920053085735e-08,-7.990596935470926e-08,-9.295727768261763e-08,-3.4892273284873807e-08,0.6956631114690687
-5.106058213895891e-08,-4.5117022312579635e-08,-9.80687371240907e-08,-1.1265747487838873e-07,-4.133475696964373e-08,0.6534061110044566
-3.8975127748244395e-08,-2.871851518225499e-08,-8.296459941704165e-08,-9.572838394374117e-08,-3.441663327463998e-08,0.7229020967189368
-5.2919543876324415e-08,-4.4511765877330856e-08,-1.0188248634156183e-07,-1.1424686575250975e-07,-4.624277899468142e-08,0.6829306534447946
-1.9937792894745773e-08,-1.5117667140698843e-08,-3.65891364112296e-08,-4.0751972289754246e-08,-1.6213150266135637e-08,0.713252535132062
-3.7585326575660313e-08,-2.7914248391935903e-08,-8.066558393688208e-08,-9.209503997083257e-08,-3.428836810401986e-08,0.6311793512309093
-3.0565775971033715e-08,-2.901814174539885e-08,-6.674172601302958e-08,-7.796207415408651e-08,-2.9598504579578244e-08,0.6717068115856374
-4.00183682355143e-08,-3.3632458410273736e-08,-8.961560120845577e-08,-1.0430319380590192e-07,-3.788973162717306e-08,0.6640004865255416
-2.1981084645386964e-08,-1.7584867716483044e-08,-4.2379531195978204e-08,-4.7479142834330745e-08,-1.9167505810628246e-08,0.6921472056612172
-2.8142565557890548e-08,-2.3416333174569592e-08,-6.079653475446478e-08,-6.960451328849593e-08,-2.4060819408264558e-08,0.6506198171416688
-2.263876696241389e-08,-2.1467796257682026e-08,-4.800979890289686e-08,-5.5621108484629755e-08,-2.029682555251648e-08,0.6070581393813951
-2.5165110875344232e-08,-1.916548179187183e-08,-5.1496816294745174e-08,-5.6663163560538576e-08,-2.3165234514475885e-08,0.6857845558431401
-3.32375963431851e-08,-2.751334363983171e-08,-6.407469961685827e-08,-7.293805864144742e-08,-2.8990570143713063e-08,0.6394568599588936
-3.786509294653739e-08,-3.4288945278612704e-08,-7.972705681541167e-08,-9.045549981614998e-08,-3.61821999267202e-08,0.7160709192203343
-3.0001605547764695e-08,-2.4398896077137966e-08,-6.88591067091529e-08,-7.843793257619747e-08,-2.692915196758107e-08,0.6104503850620885
-3.504036226952521e-08,-2.998478761291612e-08,-6.938340389684924e-08,-7.687960080007827e-08,-3.242540986127078e-08,0.6191653849073736
-3.652606570783874e-08,-3.5476466118955496e-08,-8.018940862285912e-08,-9.257468377640854e-08,-3.484670636484492e-08,0.6416932480691291
-3.918429735088984e-08,-3.077488193795053e-08,-7.622150991577412e-08,-8.480984906023004e-08,-3.48901277782282e-08,0.6535589814124487
-2.77626904282742e-08,-2.0456719262984535e-08,-5.909718898185895e-08,-6.818906420937021e-08,-2.4515592132517625e-08,0.6446736738095914
-2.4592815554618994e-08,-1.9736909297879413e-08,-5.607788515016657e-08,-6.312678132829042e-08,-2.271310990719158e-08,0.6742648955905547
-1.8015950671189038e-08,-1.3547994904758442e-08,-3.3437604445712976e-08,-3.747317739617728e-08,-1.5565781379990595e-08,0.7229020967189368
-1.5941336210714002e-08,-1.209732606102798e-08,-3.2447968032096874e-08,-3.606585993742861e-08,-1.5036863234381068e-08,0.6468453323510794
-2.3129181965075157e-08,-1.70425551327541e-08,-4.92340481595549e-08,-5.680851710744561e-08,-2.042401448377855e-08,0.722935830308623
-2.994119447990648e-08,-2.586469382247214e-08,-6.156921681819624e-08,-6.803539027294692e-08,-2.811379763386669e-08,0.6371996877493906
-1.7949619151701873e-08,-1.4667403078552632e-08,-3.5386392041852205e-08,-4.0617423908637096e-08,-1.6000803358066223e-08,0.6573550586011515
-1.6892054953161068e-08,-1.4404077866222997e-08,-3.5093571530524226e-08,-4.046236419009974e-08,-1.492786251685793e-08,0.6538971139536939
-2.7386177396584305e-08,-2.3657542915986318e-08,-5.6315238026669046e-08,-6.22296237560993e-08,-2.5714720560147605e-08,0.6820788700710623
-1.4272255601964143e-08,-1.1397268861318421e-08,-2.9982004573925886e-08,-3.419180658568999e-08,-1.2424049840569634e-08,0.6955698456434158
-2.3527828860950978e-08,-1.699232084380331e-08,-5.0382825439888174e-08,-5.810660764181408e-08,-2.1745417583783622e-08,0.6803762125272016
-1.725590043988659e-08,-1.619072140073008e-08,-3.6748676862825846e-08,-4.27136794840105e-08,-1.4805988649089358e-08,0.6656569396353785
-1.5499128856863095e-08,-1.29159407145224e-08,-3.182018121347316e-08,-3.569496342774314e-08,-1.4324952428250437e-08,0.6070581393813951
-1.4832868492926227e-08,-1.1200329269947518e-08,-2.9262121516680784e-08,-3.2390141402327544e-08,-1.3218406616022707e-08,0.6618595645324667
-2.3772322910089322e-08,-2.019493451112242e-08,-4.789084469747004e-08,-5.3314627108946855e-08,-2.215672814925157e-08,0.6502511146410226
-1.5646371232273457e-08,-1.1528905118768362e-08,-3.33057258981341e-08,-3.842968372864963e-08,-1.3816386292865579e-08,0.7170866713763916
-1.531389843233144e-08,-1.3225639555747293e-08,-3.221885124752438e-08,-3.738977799074006e-08,-1.3722844049903621e-08,0.6766950690194459
-1.3586929897358227e-08,-1.081591130026871e-08,-2.8872226031859127e-08,-3.280528468666e-08,-1.2156726750256475e-08,0.6551093995962478
-9.221766483465468e-09,-8.095443860406393e-09,-1.9429065262893674e-08,-2.2948823463070367e-08,-7.813863203611632e-09,0.7249022676138674
-1.0690430439757453e-08,-1.0189316512060342e-08,-2.2299569745441727e-08,-2.5974405208281648e-08,-9.270607647000884e-09,0.6885082550302936
-1.1885234271367603e-08,-1.0625871699893041e-08,-2.5108541275211532e-08,-2.912275947307419e-08,-1.0862002181814129e-08,0.6247802506607817
-8.085719612957454e-09,-6.383462852060928e-09,-1.6100511860805272e-08,-1.758998652637289e-08,-7.163663867616396e-09,0.7085983468636831
-1.5648279011112876e-08,-1.1188924889035667e-08,-3.316137883735415e-08,-3.770181212538193e-08,-1.3621299864733857e-08,0.6721930564068938
-1.184174999117188e-08,-8.535287331079555e-09,-2.3222133099711634e-08,-2.583654543607261e-08,-1.0380754862475416e-08,0.6506198171416688
-9.314182496892448e-09,-8.20388259582805e-09,-1.9615298238549045e-08,-2.239104798969216e-08,-8.3272492521283e-09,0.6538080110485791
-6.938821848915047e-09,-6.399884230207098e-09,-1.4349214114660336e-08,-1.6639698997150676e-08,-5.995681015037724e-09,0.657874887919554
-7.1958023309479785e-09,-5.7835420601975995e-09,-1.3920851238240217e-08,-1.5265861019742033e-08,-6.187044994821617e-09,0.7136836180800592
-1.0914108296376096e-08,-8.94956880305442e-09,-2.1900977314678882e-08,-2.422932041806769e-08,-1.0186501076675514e-08,0.6947833457531141
-1.487233417104758e-08,-1.1680554691875789e-08,-2.8929745921751904e-08,-3.218943560312493e-08,-1.3242489330361068e-08,0.6640004865255416
-1.292486894051946e-08,-1.1704186873157107e-08,-2.7214029602734557e-08,-3.087607580200269e-08,-1.2350430321017916e-08,0.6297866328037073
-7.316471139443698e-09,-6.824016351991702e-09,-1.5266098435297998e-08,-1.786907374498603e-08,-5.839106774919306e-09,0.672266812756304
-4.755858213538813e-09,-4.233236431533394e-09,-9.668502961353992e-09,-1.1288630485245532e-08,-4.024187719164907e-09,0.6857845558431401
-1.3806894126697916e-08,-9.383906398457986e-09,-2.8450569715225693e-08,-3.1558615146490276e-08,-1.2910342559986979e-08,0.6770451869650773
-8.801534915822695e-09,-6.70593136402331e-09,-1.896521213988131e-08,-2.1899057111099407e-08,-7.806123228934828e-09,0.7018358847043545
-7.153791463073225e-09,-6.087387767472752e-09,-1.3952115027106998e-08,-1.6040488931903796e-08,-6.176254741365253e-09,0.7063037259870846
-8.997286292519377e-09,-7.650753650403908e-09,-1.8423014789062386e-08,-2.1238492131647746e-08,-7.650753649970227e-09,0.6757999062015744
-4.976311583507545e-09,-4.718916157137043e-09,-1.055321249615257e-08,-1.2226282769187136e-08,-4.46152073011602e-09,0.6230281896555961
-9.114757744356147e-09,-6.944577329859314e-09,-1.9640132758839968e-08,-2.2678385339786056e-08,-8.083922047171996e-09,0.6303628653412615
-7.63186544603528e-09,-6.049649439385241e-09,-1.66132680745959e-08,-1.945194973498876e-08,-7.0734362670518e-09,0.6508558255682432
-5.395204046325028e-09,-4.418119849136648e-09,-1.1045299622407939e-08,-1.223479342837841e-08,-5.140312516567144e-09,0.6104503850620885
-1.0920843195906527e-08,-8.04963559523919e-09,-2.414890678528389e-08,-2.7994274107157047e-08,-1.0254312859990858e-08,0.7267477612050234
-5.957004124571355e-09,-4.520563413185075e-09,-1.2125249530120508e-08,-1.3477193729072301e-08,-5.619018074833407e-09,0.6207773763071368
-7.383513676764014e-09,-5.378114899604047e-09,-1.4721450108425016e-08,-1.6088767455443853e-08,-6.699855002820915e-09,0.6203290825397063
-6.039403468429891e-09,-4.559549638891158e-09,-1.2078806936859782e-08,-1.331868446953488e-08,-5.599446924360596e-09,0.6955698456434158
-5.6009623764039645e-09,-4.9332979871336e-09,-1.1795404210226262e-08,-1.3464565183293753e-08,-5.007482919419312e-09,0.6600023689430253
-6.179661673870462e-09,-4.913022945071677e-09,-1.3395664125257639e-08,-1.5621877647378768e-08,-6.026129706782762e-09,0.6507174188880271
-4.430085186061042e-09,-3.765572407707363e-09,-8.543735715866446e-09,-9.93604820295757e-09,-3.98707666751999e-09,0.6118652280495851
-8.914606850884271e-09,-7.024874522365554e-09,-1.7130834363034142e-08,-1.9390296928864514e-08,-8.05190296208902e-09,0.7249022676138674
-6.02450779801228e-09,-5.542547174691714e-09,-1.2731793146668335e-08,-1.4820289183370416e-08,-5.622873944883741e-09,0.6247802506607817
-4.682436177509686e-09,-4.123339321024377e-09,-9.923969212372041e-09,-1.1426542014664198e-08,-4.0883957668977344e-09,0.6788764202231576
-6.703986201459303e-09,-5.549410800678722e-09,-1.2923795621785222e-08,-1.4711525275767912e-08,-5.8473657424309294e-09,0.7055937932286547
-3.361393168584831e-09,-2.9567810283515072e-09,-7.002902434587871e-09,-8.185614845668265e-09,-2.8322849846690312e-09,0.6890906381281053
-2.1095781673179798e-09,-1.992379379534004e-09,-4.523873181009469e-09,-5.320824933430224e-09,-1.8048613209444703e-09,0.7136836180800592
-2.4075366821668664e-09,-1.93547066568156e-09,-4.767866762858675e-09,-5.239932779343981e-09,-2.124297072449155e-09,0.671219315994397
-4.953730512596843e-09,-4.241817145797522e-09,-9.581167398527157e-09,-1.0975331076260031e-08,-4.360469373380568e-09,0.691596052074773
-5.778688014863517e-09,-4.131369711612987e-09,-1.1661967668028655e-08,-1.2969363145931556e-08,-5.360321461873874e-09,0.6785841740590489
-7.264537680608252e-09,-6.2754691703553744e-09,-1.4938345089567096e-08,-1.6507212381722258e-08,-6.821162141417217e-09,0.6483231872051036
-5.059512591006066e-09,-4.3190961137445916e-09,-1.055093479338659e-08,-1.2278573239751789e-08,-4.689304352592169e-09,0.6717068115856374
-5.052178910251379e-09,-4.249496279168374e-09,-9.726624818073848e-09,-1.0907040451368921e-08,-4.414754468462859e-09,0.6507174188880271
-4.686366899576966e-09,-3.82943123738988e-09,-9.238837601639044e-09,-1.0604578812301035e-08,-4.177561350451539e-09,0.6790470373084785
-2.3853854072119346e-09,-2.1624521912705363e-09,-4.770770814423869e-09,-5.350397175654664e-09,-2.184745513189937e-09,0.6681664435569488
-6.981874667169943e-09,-5.146264426755809e-09,-1.5438793278099022e-08,-1.7897199850597234e-08,-6.555750861223994e-09,0.618524864746739
-3.8235296556492215e-09,-2.9131654519232164e-09,-8.238796043395086e-09,-9.513305929478855e-09,-3.3911066589335792e-09,0.641000176119235
-2.147690843961117e-09,-1.7532170160095006e-09,-4.448788176823065e-09,-5.040498919292591e-09,-1.7970474407592169e-09,0.6895407216578038
-2.752152490712728e-09,-2.436331712762918e-09,-6.158505163732925e-09,-7.128526123556522e-09,-2.458890340038128e-09,0.6782333647575172
-2.9352897896583324e-09,-2.4497531329881195e-09,-6.135417755879363e-09,-7.128560918640003e-09,-2.493892828792782e-09,0.6955698456434158
-2.7396788095535723e-09,-2.532127384505256e-09,-5.7906847563543584e-09,-6.662400742207808e-09,-2.386841387079855e-09,0.6890906381281053
-3.0241300416535694e-09,-2.303145396620465e-09,-6.1884515420093655e-09,-6.8092994316010236e-09,-2.783801826425694e-09,0.6360712268426065
-1.3737424728581943e-09,-1.1363055028162927e-09,-2.7305251618786608e-09,-3.2223588866675534e-09,-1.1871848530284335e-09,0.6735697552322598
-2.265147676632634e-09,-1.80503955532485e-09,-4.813438812898557e-09,-5.627476259290054e-09,-1.9289148182367877e-09,0.6876135772498673
-4.292326713246225e-09,-3.1860569425778973e-09,-8.805907380886324e-09,-9.801550175658758e-09,-3.960445781872254e-09,0.6389122790252166
-3.2245297864122446e-09,-2.323263697742717e-09,-6.7695097379257e-09,-7.810972774829894e-09,-2.8840514859108934e-09,0.6499585179436869
-2.23144685303385e-09,-1.9650054378789195e-09,-4.72933512100579e-09,-5.4453964254408405e-09,-1.9483528492826585e-09,0.6573550586011515
-1.5314725479529528e-09,-1.4671249614489623e-09,-3.3460744743550597e-09,-3.873724679567814e-09,-1.4027773758123335e-09,0.6921472056612172
-2.125074558597534e-09,-1.6934187888756336e-09,-4.51578343729081e-09,-5.2794821066987074e-09,-1.8096338039175208e-09,0.6517577601401182
-5.5367864076113354e-09,-3.763097255679582e-09,-1.1409135628002304e-08,-1.2655511789569363e-08,-5.177254822769095e-09,0.5916296284399123
-1.8906735187868007e-09,-1.6908462355941234e-09,-4.1195162849526346e-09,-4.841968768640181e-09,-1.7523315541667639e-09,0.7010591637401362
-1.632857923308459e-09,-1.4802543791408995e-09,-3.265715846616918e-09,-3.662485061756149e-09,-1.4955147335359714e-09,0.6680388435597846
-2.926528491114036e-09,-2.4225152508994263e-09,-5.641696591233286e-09,-6.4221041887191355e-09,-2.5525831838860147e-09,0.6984369247747436
-2.018096839162889e-09,-1.6115737355715254e-09,-4.23945523044672e-09,-4.834721204979853e-09,-1.7567605577716028e-09,0.6800249832768028
-2.6617154561155154e-09,-2.585229379528653e-09,-5.843536231286972e-09,-6.746071931976183e-09,-2.5393377340102163e-09,0.6746214922772412
-1.611379177009556e-09,-1.4189756938898235e-09,-3.4151618377893656e-09,-3.932246200530343e-09,-1.406950475395241e-09,0.7170866713763916
-1.4529806286085745e-09,-1.2929064919370292e-09,-3.102975579608036e-09,-3.6078247819815168e-09,-1.2682797013129077e-09,0.6680388435597846
-2.034400830956684e-09,-1.7420318486338626e-09,-3.934799211718215e-09,-4.50735513496392e-09,-1.790760012932574e-09,0.6890906381281053
-1.7750458119417806e-09,-1.5869614875679838e-09,-3.7499312184087474e-09,-4.349450003285349e-09,-1.622227298238993e-09,0.722935830308623
-2.0224961490723087e-09,-1.5653566082241e-09,-4.141961291743296e-09,-4.640658971682976e-09,-1.7731473088856281e-09,0.6328535412202585
-1.3723746553236105e-09,-1.2034670048705065e-09,-2.8819867763964224e-09,-3.35703954218447e-09,-1.1929102772863936e-09,0.6468453323510794
-1.5078115268938458e-09,-1.16700481223031e-09,-3.087915386931761e-09,-3.459704531541541e-09,-1.3219169550226367e-09,0.6551093995962478
-1.379501997659724e-09,-1.1036015989951409e-09,-2.6596798517915243e-09,-2.979724314511323e-09,-1.2029257420893835e-09,0.6646577181955473
-1.332505107122517e-09,-1.2315577498783759e-09,-2.8164312492438837e-09,-3.2404101468069824e-09,-1.1608946009350474e-09,0.6680388435597846
-2.1641820544850143e-09,-1.6489006132713868e-09,-4.663297045823939e-09,-5.384691064563851e-09,-1.9194233695941226e-09,0.6658617246659327
-2.589596097453406e-09,-1.8513854459917267e-09,-5.226062712356677e-09,-5.811944182865236e-09,-2.402114027003424e-09,0.6230281896555961
-1.2073672988038159e-09,-8.905404191850153e-10,-2.4746748179295397e-09,-2.722998588763903e-09,-1.1559899669444373e-09,0.6857845558431401
-1.5519311920633716e-09,-1.315965045267653e-09,-3.0040305529568934e-09,-3.3761310136437572e-09,-1.325040667032179e-09,0.691596052074773
-2.5401054662421707e-09,-2.0016499291397594e-09,-4.88121649480297e-09,-5.5250220284269735e-09,-2.2942888081977503e-09,0.6538971139536939
-1.522346440314265e-09,-1.3174151890921193e-09,-3.04469288062853e-09,-3.425279490598676e-09,-1.3759669749077719e-09,0.6328535412202585
-1.4114433424111672e-09,-1.119745051889054e-09,-3.0581272418908623e-09,-3.500379489734806e-09,-1.279708630513507e-09,0.6718789518859638
-1.2382649849061733e-09,-8.998058895204331e-10,-2.592101368183858e-09,-3.0048563637308234e-09,-1.089673186752127e-09,0.7104174201519545
-1.3693944552525122e-09,-1.219202804686459e-09,-2.9508241809229896e-09,-3.4190687364654693e-09,-1.298716031635297e-09,0.722935830308623
-1.4208060004124862e-09,-1.0726614839418058e-09,-2.8416120008249723e-09,-3.133300650187687e-09,-1.317303576549994e-09,0.6885082550302936
-1.4073352637335862e-09,-9.844054946195335e-10,-3.033427304049291e-09,-3.4563570720791414e-09,-1.2979568752256865e-09,0.6658617246659327
-1.132253053034299e-09,-8.531765970792859e-10,-2.216664427533155e-09,-2.4638464324322484e-09,-1.0126488571293724e-09,0.641000176119235
-1.2220975364497788e-09,-1.1243297334817548e-09,-2.582699460546012e-09,-3.0063599405077968e-09,-1.1406243673097588e-09,0.6207773763071368
-1.2602784274073214e-09,-8.982835603826844e-10,-2.4937424200274783e-09,-2.755183158009711e-09,-1.1731315148911375e-09,0.6380121785861926
-1.239931641952921e-09,-8.824053397693543e-10,-2.4037938579739293e-09,-2.601574365657111e-09,-1.1030066753622142e-09,0.6661394628713407
-1.1591033504104037e-09,-8.442851574114174e-10,-2.311051741903797e-09,-2.5257005098477947e-09,-1.0517789662215643e-09,0.7170866713763916
-1.1504949707762807e-09,-9.450494397461595e-10,-2.399603796048033e-09,-2.646138433370915e-09,-1.0765345797962567e-09,0.625749998413344
-8.54062974856018e-10,-6.153497208311043e-10,-1.7930017735291737e-09,-2.06884820039277e-09,-7.63882412402675e-10,0.6012311244585146
-8.1314871069188e-10,-6.055362739010306e-10,-1.678200530364632e-09,-1.8223758335711437e-09,-7.554785894092753e-10,0.6929167172927293
-8.385054677505221e-10,-7.749823265762457e-10,-1.7722956474792995e-09,-2.039092842492929e-09,-7.30516127190467e-10,0.6320641479629543
-1.1132518047598378e-09,-8.020201169856023e-10,-2.2624149580673103e-09,-2.507809173865616e-09,-1.0354438829789092e-09,0.6923337598754095
-7.66183964147002e-10,-6.384866368253084e-10,-1.5729988960683228e-09,-1.764544886942443e-09,-7.08139724376472e-10,0.6602092355725633
-7.695825775689419e-10,-6.10535511036403e-10,-1.6674289180299007e-09,-1.908564792318934e-09,-6.977548701585928e-10,0.6539987675165444
-6.515307802816561e-10,-4.851824966095597e-10,-1.3446486315897566e-09,-1.4601682727516385e-09,-6.053229235133267e-10,0.6533141064449437
-6.860889564808126e-10,-5.726005572470605e-10,-1.4340806762588865e-09,-1.6662160366720524e-09,-5.829176848246714e-10,0.6956631114690687
-1.1192595619855666e-09,-8.083541284259477e-10,-2.396798253791188e-09,-2.7642319492399148e-09,-1.0344671709950487e-09,0.6527053866687449
-9.343553075344402e-10,-8.016053723580718e-10,-1.7921241144726319e-09,-2.067835517399752e-09,-8.220284398920835e-10,0.6517710809445023
-8.384158814260523e-10,-6.223293148172049e-10,-1.7200490762606102e-09,-1.9145269865988856e-09,-7.735899110964534e-10,0.6790470373084785
-4.376235224895497e-10,-3.994182935784796e-10,-8.683006397225412e-10,-9.7596991946447e-10,-3.994182942290009e-10,0.618499735388867
-8.277999102163092e-10,-7.101889944183259e-10,-1.5877473684769439e-09,-1.8320161949969549e-09,-7.282829810138086e-10,0.6808073722539911
-4.094838567617748e-10,-3.291929038390373e-10,-8.10938618339696e-10,-8.912295710455931e-10,-3.613092854418132e-10,0.6483231872051036
-2.7465175554859667e-10,-2.4447024439544496e-10,-5.583579648985038e-10,-6.519206511429454e-10,-2.3239763932703106e-10,0.6573550586011515
